Pitch Number,Total Sales/Revenue,Profitable
1,['0'],No
2,"['850,000']",Yes
3,[],No
4,"['500,000']",Yes
5,[],No
6,"['700,000', '700,000']",No
7,[],No
8,['0'],Yes
9,"['5,000']",No
10,['0'],No
11,['0'],No
12,"['180,000']",No
13,"['500,000']",No
14,['0'],No
15,"['400,000']",Yes
16,"['120,000']",No
17,"['200,000']",No
18,[],No
19,"['18,000']",No
20,['0'],No
21,[],No
22,[],No
23,"['11,000', '11,000']",No
24,[],No
25,[],No
26,['4 MILLION'],No
27,"['50,000']",No
28,"['187,000']",No
29,['0'],No
30,"['84,000']",No
31,"['22,000']",No
32,"['60,000']",No
33,['0'],No
34,[],No
35,[],No
36,[],Yes
37,[],No
38,['2 MILLION'],Yes
39,[],No
40,"['17,500']",Yes
41,[],No
42,[],No
49,[],Yes
52,"['300,000']",Yes
55,[],No
59,"['13,000']",Yes
61,[],No
65,[],No
66,"['268,000']",No
67,"['30,000']",No
68,[],No
69,[],No
70,[],No
71,[],No
72,[],No
73,"['34,000']",No
74,[],No
75,"['150,000']",No
76,[],No
77,[],No
78,"['60,000']",Yes
79,[],No
80,"['100,000']",No
81,[],No
82,"['800,000']",No
83,"['800,000', '800,000']",No
84,['1 MILLION'],No
85,[],No
86,[],No
87,[],No
88,"['15,000']",Yes
89,[],No
90,"['350,000']",Yes
91,[],No
92,[],No
93,[],Yes
94,"['750,000']",Yes
95,[],No
96,[],Yes
97,[],No
98,[],Yes
99,"['350,000']",Yes
100,"['400,000,']",Yes
101,[],No
102,"['118,000']",Yes
103,[],No
104,[],No
105,[],Yes
106,[],No
107,"['50,000', '50,000', '50,000']",No
108,"['200,000']",No
109,[],No
110,"['500,000']",No
111,"['50,000']",No
112,[],No
113,[],No
114,"['15,000']",No
115,[],No
116,"['80,000']",No
117,"['500,000']",Yes
118,"['350,000']",Yes
119,['5 million'],No
120,[],No
121,"['65,000']",Yes
122,"['75,000']",No
123,[],No
124,['0'],No
125,"['80,000']",No
